epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3381.02,0.31664,0.50579,0.24931,0.82904,0.9557,0.96693,0.98303,0.93089,0.96969,0.9567,0.98442,0.76784,0.34578,0.46827,0.27523,0.88718,0.000287613,0.000287613,0.000287613
58,3440.27,0.30063,0.49352,0.24117,0.82542,0.97765,0.96504,0.9845,0.92804,0.98103,0.96825,0.98977,0.75044,0.35702,0.48465,0.25547,0.89503,0.000273299,0.000273299,0.000273299
59,3499.65,0.30133,0.49359,0.24092,0.83183,0.9639,0.97349,0.98261,0.92763,0.96928,0.97881,0.98427,0.75,0.34317,0.48174,0.25962,0.90179,0.000259206,0.000259206,0.000259206
60,3558.84,0.29749,0.48347,0.23635,0.82866,0.96096,0.97978,0.98527,0.92747,0.96104,0.97978,0.98279,0.75817,0.34455,0.46469,0.25438,0.90591,0.00024535,0.00024535,0.00024535
61,3618.22,0.29136,0.48382,0.23874,0.81645,0.97388,0.96114,0.98552,0.92968,0.97738,0.96448,0.98471,0.76192,0.35228,0.46243,0.25038,0.91934,0.00023175,0.00023175,0.00023175
62,3677.38,0.29553,0.47491,0.23941,0.82492,0.97452,0.97364,0.98183,0.93075,0.97791,0.97697,0.98505,0.77099,0.3516,0.46783,0.25745,0.90961,0.000218421,0.000218421,0.000218421
63,3737.02,0.28781,0.46312,0.2301,0.82667,0.95854,0.97729,0.98101,0.92998,0.96668,0.98837,0.98655,0.77617,0.34978,0.45095,0.25137,0.91383,0.00020538,0.00020538,0.00020538
64,3796.65,0.28113,0.4697,0.22383,0.81299,0.9617,0.97643,0.98547,0.92849,0.96511,0.97967,0.9884,0.7883,0.36464,0.46118,0.25105,0.92813,0.000192642,0.000192642,0.000192642
65,3855.66,0.292,0.47417,0.22735,0.82546,0.95809,0.97667,0.98578,0.9391,0.96606,0.98333,0.98493,0.76783,0.34374,0.47201,0.24418,0.90148,0.000180223,0.000180223,0.000180223
66,3914.87,0.27555,0.45392,0.21774,0.81213,0.97486,0.96,0.98543,0.93671,0.9715,0.95667,0.97867,0.78192,0.34412,0.47221,0.25405,0.91119,0.000168138,0.000168138,0.000168138
67,3974.1,0.27949,0.4523,0.22268,0.82113,0.9797,0.96546,0.98279,0.93678,0.97598,0.97089,0.98626,0.78594,0.34064,0.45931,0.24384,0.90928,0.000156402,0.000156402,0.000156402
68,4033.39,0.2617,0.43743,0.21195,0.82069,0.97532,0.96688,0.98337,0.938,0.97535,0.96688,0.98602,0.78787,0.33449,0.44727,0.24559,0.91702,0.00014503,0.00014503,0.00014503
69,4093.21,0.26306,0.4414,0.21293,0.81012,0.96533,0.97032,0.98497,0.93732,0.96714,0.97412,0.98472,0.79647,0.33701,0.43927,0.2487,0.90908,0.000134034,0.000134034,0.000134034
